Archivo,IdentificacionSeriesTemporales,TerminoCosteHorario,TipoPrecio,UnidadPrecio,Pos,Ctd,Fecha
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,1,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,2,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,3,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,4,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,5,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,6,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,7,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,8,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,9,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,10,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,11,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,12,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,13,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,14,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,15,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,16,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,17,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,18,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,19,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,20,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,21,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,22,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,23,0.000844,02/03/2025
pvpcdesglosehorario_20250203.xml,IST1,CAPh,Z24,EUR:KWH,24,0.00014,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,1,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,2,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,3,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,4,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,5,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,6,0.0,02/03/2025
pvpcdesglosehorario_20250203.xml,IST2,CAPh,Z14,EUR:KWH,7,0.0,02/03/2025
