ticker,date,open,high,low,close
ATOM,05/01/19,4.3800,4.7100,4.2700,4.4500
ATOM,05/02/19,4.4500,4.6800,4.1700,4.4600
ATOM,05/03/19,4.4900,5.0400,4.4300,5.0000
ATOM,05/04/19,5.0000,5.5200,4.6900,5.2600
ATOM,05/05/19,5.2600,5.3300,4.7900,4.9000
ATOM,05/06/19,4.9000,5.0900,4.4700,4.7100
ATOM,05/07/19,4.7100,5.2400,4.5500,4.6600
ATOM,05/08/19,4.6600,4.7400,4.2500,4.3100
ATOM,05/09/19,4.3100,4.4800,3.4200,3.7300
ATOM,05/10/19,3.7300,4.0600,3.6300,3.7300
ATOM,05/11/19,3.7300,4.2500,3.7100,4.1700
ATOM,05/12/19,4.1700,4.2400,3.7300,4.0300
ATOM,05/13/19,4.0300,4.1900,3.8200,4.0000
ATOM,05/14/19,4.0000,4.1400,3.8000,3.8200
ATOM,05/15/19,3.8200,4.6500,3.8200,4.5700
ATOM,05/16/19,4.5700,4.8000,4.0000,4.2900
ATOM,05/17/19,4.2900,4.7500,3.7900,4.4000
ATOM,05/18/19,4.4000,4.9400,4.3100,4.7900
ATOM,05/19/19,4.7900,5.1700,4.6200,4.9200
ATOM,05/20/19,4.9200,4.9900,4.4600,4.7700
ATOM,05/21/19,4.7700,4.8900,4.5200,4.7600
ATOM,05/22/19,4.7600,4.8100,4.4000,4.4000
ATOM,05/23/19,4.4000,4.4500,4.1200,4.2500
ATOM,05/24/19,4.2500,4.7900,4.2500,4.6200
ATOM,05/25/19,4.6200,4.6200,4.3200,4.3300
ATOM,05/26/19,4.3300,4.5500,4.2600,4.5200
ATOM,05/27/19,4.5200,4.7000,4.4900,4.6300
ATOM,05/28/19,4.6300,4.8200,4.5000,4.7900
ATOM,05/29/19,4.7900,4.8300,4.5100,4.6900
ATOM,05/30/19,4.6900,6.4300,4.6900,5.3200
ATOM,05/31/19,5.3200,5.9900,5.2400,5.8700
ATOM,06/01/19,5.8800,6.4000,5.6800,5.8600
ATOM,06/02/19,5.8600,6.4000,5.6000,6.0800
